time,timestamp,open,high,low,close,volume
2026-08-25T21:00:00+00:00,1787691600,78184.85,78660.54,77832.0,78536.81,421.47594018
2026-08-25T22:00:00+00:00,1787695200,78550.55,78991.43,78550.54,78876.87,250.00026254
2026-08-25T23:00:00+00:00,1787698800,78876.87,78970.77,78386.12,78526.8,265.90328552
2026-08-26T00:00:00+00:00,1787702400,78526.79,78707.68,78301.0,78632.36,241.33684319
2026-08-26T01:00:00+00:00,1787706000,78623.94,78958.08,78590.16,78815.54,198.61551955
2026-08-26T02:00:00+00:00,1787709600,78815.54,79239.09,78737.54,79098.25,157.72859152
2026-08-26T03:00:00+00:00,1787713200,79098.25,79176.24,78875.9,79075.52,106.72300972
2026-08-26T04:00:00+00:00,1787716800,79075.52,79190.94,78779.69,78823.85,103.21639166
2026-08-26T05:00:00+00:00,1787720400,78823.85,79124.4,78633.09,79079.25,130.89254332
2026-08-26T06:00:00+00:00,1787724000,79079.25,79199.99,78793.67,78934.01,115.50872756
2026-08-26T07:00:00+00:00,1787727600,78934.02,79085.8,78850.0,78915.97,73.53973323
2026-08-26T08:00:00+00:00,1787731200,78915.98,79110.91,78591.91,78696.38,86.31915841
2026-08-26T09:00:00+00:00,1787734800,78696.38,78877.55,78239.1,78434.75,192.852472
2026-08-26T10:00:00+00:00,1787738400,78434.74,78870.13,78283.75,78706.68,135.61143676
2026-08-26T11:00:00+00:00,1787742000,78706.68,78773.27,78298.26,78467.42,149.11408863
2026-08-26T12:00:00+00:00,1787745600,78467.42,78693.17,77950.01,78299.51,295.17562183
2026-08-26T13:00:00+00:00,1787749200,78299.51,78554.61,77902.47,78442.55,525.15361186
2026-08-26T14:00:00+00:00,1787752800,78445.14,78611.68,77762.02,77787.17,635.2614051
2026-08-26T15:00:00+00:00,1787756400,77787.53,78163.4,77601.02,78013.37,502.98496421
2026-08-26T16:00:00+00:00,1787760000,78013.36,78175.14,77854.56,77986.94,415.72843225
2026-08-26T17:00:00+00:00,1787763600,77986.94,78613.28,77986.93,78446.15,358.84868306
